City,Date,AQI,PM2.5,PM10,NO2
Delhi,2023-04-29,202.5,103.2,142.2,32.3
Delhi,2023-04-30,248.1,87.3,219.4,24.1
Delhi,2023-05-01,262.2,131.5,211.6,52.3
Delhi,2023-05-02,137.6,50.7,91.7,26.2
Delhi,2023-05-03,161.7,71.9,122.8,28.0
Delhi,2023-05-04,91.4,44.8,62.3,51.2
Delhi,2023-05-05,179.7,67.2,136.7,47.6
Delhi,2023-05-06,182.9,81.7,149.5,30.4
Delhi,2023-05-07,252.4,93.4,166.1,37.3
Delhi,2023-05-08,,84.7,126.4,49.3
Delhi,2023-05-09,255.2,95.8,219.6,36.9
Delhi,2023-05-10,58.4,25.9,42.8,41.7
Delhi,2023-05-11,187.8,83.7,159.0,44.5
Delhi,2023-05-12,160.9,58.0,103.7,43.4
Delhi,2023-05-13,132.9,49.7,110.2,35.1
Delhi,2023-05-14,96.7,44.0,71.1,23.6
Delhi,2023-05-15,68.6,28.2,53.9,50.5
Delhi,2023-05-16,104.0,40.7,69.0,24.3
Delhi,2023-05-17,161.3,58.9,96.9,32.6
Delhi,2023-05-18,103.3,40.9,83.9,46.2
Delhi,2023-05-19,160.8,86.0,134.5,24.2
Delhi,2023-05-20,117.6,51.2,89.8,24.4
Delhi,2023-05-21,101.3,36.9,65.8,13.8
Delhi,2023-05-22,144.7,59.0,92.2,63.3
Delhi,2023-05-23,145.0,65.3,108.5,18.4
Delhi,2023-05-24,195.0,80.8,131.6,42.1
Delhi,2023-05-25,308.8,143.6,273.4,60.8
Delhi,2023-05-26,269.6,96.5,222.9,39.9
Delhi,2023-05-27,94.4,36.5,73.2,44.0
Delhi,2023-05-28,133.8,56.1,93.7,26.9
Delhi,2023-05-29,123.0,60.1,84.4,14.0
Delhi,2023-05-30,283.5,125.0,196.8,30.7
Delhi,2023-05-31,109.3,49.5,98.0,75.6
Delhi,2023-06-01,138.9,53.8,98.4,24.3
Delhi,2023-06-02,183.4,71.7,140.3,19.0
Delhi,2023-06-03,237.9,89.0,212.2,32.9
Delhi,2023-06-04,145.6,67.0,111.5,33.0
Delhi,2023-06-05,335.9,148.6,213.4,65.9
Delhi,2023-06-06,214.8,97.0,146.5,24.7
Delhi,2023-06-07,265.3,122.1,189.7,3.8
Delhi,2023-06-08,243.0,127.0,165.9,31.6
Delhi,2023-06-09,195.5,88.3,165.4,25.0
Delhi,2023-06-10,169.6,93.2,126.7,52.4
Delhi,2023-06-11,224.4,103.3,171.2,55.0
Delhi,2023-06-12,129.2,63.2,99.7,43.7
Delhi,2023-06-13,,95.1,154.8,65.8
Delhi,2023-06-14,202.3,104.0,180.9,26.3
Delhi,2023-06-15,163.5,76.5,140.8,40.1
Delhi,2023-06-16,225.5,99.5,184.2,28.5
Delhi,2023-06-17,106.1,47.1,94.5,51.7
Delhi,2023-06-18,131.3,68.3,112.4,59.6
Delhi,2023-06-19,217.2,107.2,179.8,28.7
Delhi,2023-06-20,191.3,91.1,167.6,37.1
Delhi,2023-06-21,279.4,103.3,220.8,39.6
Delhi,2023-06-22,225.2,119.5,138.2,28.3
Delhi,2023-06-23,194.3,73.7,147.5,28.0
Delhi,2023-06-24,82.6,30.2,71.1,29.3
Delhi,2023-06-25,147.5,55.8,108.9,32.4
Delhi,2023-06-26,,91.4,155.6,51.5
Delhi,2023-06-27,164.5,68.9,127.7,32.1
Delhi,2023-06-28,139.5,72.4,92.0,27.9
Delhi,2023-06-29,128.4,59.6,99.2,51.4
Delhi,2023-06-30,230.1,110.8,157.0,39.4
Delhi,2023-07-01,96.4,34.7,75.4,30.8
Delhi,2023-07-02,50.1,25.5,39.2,40.7
Delhi,2023-07-03,128.8,62.5,105.1,57.1
Delhi,2023-07-04,118.1,62.7,93.8,15.9
Delhi,2023-07-05,156.6,77.7,98.2,55.1
Delhi,2023-07-06,152.2,57.3,115.9,63.9
Delhi,2023-07-07,252.6,130.4,171.0,36.7
Delhi,2023-07-08,211.1,105.4,148.1,24.7
Delhi,2023-07-09,295.4,160.5,253.5,65.5
Delhi,2023-07-10,152.9,78.1,108.5,-1.4
Delhi,2023-07-11,182.5,80.5,146.3,37.6
Delhi,2023-07-12,142.7,76.8,90.3,22.4
Delhi,2023-07-13,181.4,83.9,158.6,43.4
Delhi,2023-07-14,183.9,97.8,127.0,45.3
Delhi,2023-07-15,152.4,62.6,114.0,44.5
Delhi,2023-07-16,282.7,124.6,226.5,58.0
Delhi,2023-07-17,173.8,86.6,112.3,3.8
Delhi,2023-07-18,156.4,67.5,138.5,43.5
Delhi,2023-07-19,236.5,127.7,202.6,42.9
Delhi,2023-07-20,254.1,138.6,179.8,53.3
Delhi,2023-07-21,148.8,77.3,109.6,45.8
Delhi,2023-07-22,135.2,47.9,113.0,21.7
Delhi,2023-07-23,181.3,65.9,150.4,47.8
Delhi,2023-07-24,191.1,79.4,123.1,50.1
Delhi,2023-07-25,183.7,69.6,117.4,39.3
Delhi,2023-07-26,179.8,63.9,108.7,49.3
Delhi,2023-07-27,191.0,73.5,117.6,29.3
Delhi,2023-07-28,176.2,78.5,146.8,21.7
Delhi,2023-07-29,151.3,81.6,92.7,39.4
Delhi,2023-07-30,205.0,90.5,182.3,10.5
Delhi,2023-07-31,243.6,118.7,182.0,46.4
Delhi,2023-08-01,199.8,94.2,123.8,36.9
Delhi,2023-08-02,166.7,69.2,149.8,61.0
Delhi,2023-08-03,115.2,42.6,93.4,36.9
Delhi,2023-08-04,232.4,114.8,154.4,22.6
Delhi,2023-08-05,138.8,61.2,100.6,43.2
Delhi,2023-08-06,232.3,98.7,150.0,48.9
Delhi,2023-08-07,199.8,73.7,125.7,37.4
Delhi,2023-08-08,172.3,80.5,132.4,12.7
Delhi,2023-08-09,165.3,79.9,136.4,46.7
Delhi,2023-08-10,244.8,115.1,172.7,22.3
Delhi,2023-08-11,143.4,56.6,90.7,35.1
Delhi,2023-08-12,212.4,98.7,178.9,28.1
Delhi,2023-08-13,271.5,128.3,215.2,6.4
Delhi,2023-08-14,316.2,127.6,206.8,45.7
Delhi,2023-08-15,164.9,57.9,142.0,27.7
Delhi,2023-08-16,124.5,59.3,75.8,33.9
Delhi,2023-08-17,179.0,74.9,127.3,29.6
Delhi,2023-08-18,161.6,59.3,99.5,14.4
Delhi,2023-08-19,225.7,91.3,180.2,57.4
Delhi,2023-08-20,115.4,57.8,73.2,41.5
Delhi,2023-08-21,135.7,60.7,108.6,45.2
Delhi,2023-08-22,237.7,83.6,164.1,44.2
Delhi,2023-08-23,187.9,78.1,113.2,47.9
Delhi,2023-08-24,179.3,88.0,134.5,30.7
Delhi,2023-08-25,234.4,122.4,143.6,16.5
Delhi,2023-08-26,314.3,146.2,242.6,44.0
Delhi,2023-08-27,164.3,58.2,114.6,24.9
Delhi,2023-08-28,206.4,110.2,129.3,20.3
Delhi,2023-08-29,205.1,93.3,147.4,30.7
Delhi,2023-08-30,159.8,61.3,120.4,52.7
Delhi,2023-08-31,234.0,98.3,191.5,51.8
Delhi,2023-09-01,226.3,85.8,149.2,15.0
Delhi,2023-09-02,98.9,38.1,82.3,24.8
Delhi,2023-09-03,79.5,35.0,69.7,40.9
Delhi,2023-09-04,101.7,53.2,80.2,31.6
Delhi,2023-09-05,193.2,79.3,131.8,44.6
Delhi,2023-09-06,247.0,108.8,152.4,46.2
Delhi,2023-09-07,191.8,99.9,150.5,34.8
Delhi,2023-09-08,113.2,57.5,98.3,39.3
Delhi,2023-09-09,76.1,31.5,56.5,48.5
Delhi,2023-09-10,192.5,102.0,135.3,44.4
Delhi,2023-09-11,164.2,65.6,120.1,22.7
Delhi,2023-09-12,112.2,47.6,76.8,46.8
Delhi,2023-09-13,134.2,68.2,106.6,47.4
Delhi,2023-09-14,204.5,83.2,167.1,42.7
Delhi,2023-09-15,107.7,44.9,83.4,12.8
Delhi,2023-09-16,215.1,105.3,154.4,50.8
Delhi,2023-09-17,63.0,26.8,52.8,20.1
Delhi,2023-09-18,214.6,106.8,172.9,19.4
Delhi,2023-09-19,94.7,40.0,67.1,36.4
Delhi,2023-09-20,197.7,88.4,132.1,49.4
Delhi,2023-09-21,195.6,72.4,162.6,44.6
Delhi,2023-09-22,,101.6,202.0,13.2
Delhi,2023-09-23,219.7,113.4,182.6,50.7
Delhi,2023-09-24,193.1,83.5,155.0,31.6
Delhi,2023-09-25,185.1,92.5,136.0,56.2
Delhi,2023-09-26,129.5,57.5,110.1,37.3
Delhi,2023-09-27,81.9,36.2,56.1,66.8
Delhi,2023-09-28,125.9,64.6,105.8,52.4
Delhi,2023-09-29,209.4,109.9,160.5,48.7
Delhi,2023-09-30,272.8,111.0,226.1,57.4
Delhi,2023-10-01,161.4,70.6,142.7,72.2
Delhi,2023-10-02,191.5,68.0,118.0,56.2
Delhi,2023-10-03,136.0,57.8,82.8,39.9
Delhi,2023-10-04,284.0,144.4,182.1,27.9
Delhi,2023-10-05,154.1,58.2,125.1,67.5
Delhi,2023-10-06,174.2,69.9,148.2,40.5
Delhi,2023-10-07,87.8,32.7,60.3,32.7
Delhi,2023-10-08,174.1,88.6,128.3,44.5
Delhi,2023-10-09,279.9,98.9,211.2,60.9
Delhi,2023-10-10,181.7,85.9,122.1,48.3
Delhi,2023-10-11,103.2,56.2,64.0,51.1
Delhi,2023-10-12,109.6,50.5,78.6,37.1
Delhi,2023-10-13,96.2,38.6,58.2,44.0
Delhi,2023-10-14,193.2,91.9,160.6,26.6
Delhi,2023-10-15,,80.4,147.7,26.6
Delhi,2023-10-16,227.3,111.2,179.5,63.2
Delhi,2023-10-17,188.2,83.1,129.5,35.0
Delhi,2023-10-18,,117.3,164.9,42.7
Delhi,2023-10-19,254.9,127.6,167.6,38.7
Delhi,2023-10-20,114.9,47.8,73.2,60.5
Delhi,2023-10-21,94.9,50.2,67.9,63.2
Delhi,2023-10-22,249.3,133.3,188.4,37.1
Delhi,2023-10-23,210.5,99.0,178.2,17.1
Delhi,2023-10-24,129.3,62.3,89.5,36.3
Delhi,2023-10-25,129.5,54.4,79.3,30.5
Delhi,2023-10-26,218.3,88.4,195.2,29.8
Delhi,2023-10-27,202.4,85.5,170.1,38.1
Delhi,2023-10-28,116.4,54.9,97.1,6.5
Delhi,2023-10-29,201.9,85.5,144.3,41.2
Delhi,2023-10-30,105.4,56.9,75.0,31.6
Delhi,2023-10-31,186.4,80.1,148.2,20.5
Delhi,2023-11-01,180.1,81.0,129.0,47.4
Delhi,2023-11-02,136.7,60.0,122.9,35.6
Delhi,2023-11-03,150.4,56.3,128.7,72.6
Delhi,2023-11-04,57.4,21.1,46.2,49.5
Delhi,2023-11-05,209.7,76.1,159.9,29.1
Delhi,2023-11-06,270.9,145.1,214.4,21.5
Delhi,2023-11-07,199.4,77.8,127.9,22.8
Delhi,2023-11-08,183.5,77.8,154.3,36.6
Delhi,2023-11-09,101.8,41.9,91.6,33.4
Delhi,2023-11-10,165.8,85.3,103.1,22.0
Delhi,2023-11-11,264.7,128.6,186.2,36.3
Delhi,2023-11-12,255.2,98.6,227.1,21.9
Delhi,2023-11-13,59.8,22.4,38.6,53.5
Delhi,2023-11-14,207.1,86.8,182.7,51.4
Delhi,2023-11-15,271.7,129.6,207.9,22.2
Delhi,2023-11-16,216.0,97.3,140.5,49.0
Delhi,2023-11-17,212.4,105.0,166.0,36.9
Delhi,2023-11-18,222.4,79.1,136.5,23.9
Delhi,2023-11-19,130.4,65.6,94.5,24.7
Delhi,2023-11-20,134.8,55.0,119.6,26.5
Delhi,2023-11-21,72.2,29.6,44.9,42.9
Delhi,2023-11-22,240.1,93.8,187.8,45.9
Delhi,2023-11-23,143.4,74.9,128.0,62.1
Delhi,2023-11-24,219.3,90.8,162.3,50.6
Delhi,2023-11-25,175.0,71.4,125.2,51.3
Delhi,2023-11-26,146.1,55.8,102.0,32.5
Delhi,2023-11-27,134.1,60.3,101.2,33.9
Delhi,2023-11-28,,69.3,96.6,40.1
Delhi,2023-11-29,220.9,79.5,165.3,37.8
Delhi,2023-11-30,244.6,111.9,208.9,25.3
Delhi,2023-12-01,67.4,33.9,47.8,53.1
Delhi,2023-12-02,116.7,53.8,72.6,51.4
Delhi,2023-12-03,78.0,42.7,62.7,39.3
Delhi,2023-12-04,299.7,152.5,210.3,67.7
Delhi,2023-12-05,273.3,123.5,205.0,30.6
Delhi,2023-12-06,211.3,94.0,155.7,42.3
Delhi,2023-12-07,123.3,58.3,80.0,28.8
Delhi,2023-12-08,278.2,116.1,236.0,38.6
Delhi,2023-12-09,87.7,45.0,62.3,35.2
Delhi,2023-12-10,102.7,52.3,84.0,2.8
Delhi,2023-12-11,174.7,94.9,145.9,36.8
Delhi,2023-12-12,192.9,90.0,125.6,20.6
Delhi,2023-12-13,122.5,46.5,98.5,24.9
Delhi,2023-12-14,323.1,114.3,224.3,47.2
Delhi,2023-12-15,233.3,117.8,204.4,58.7
Delhi,2023-12-16,248.3,93.8,164.4,22.5
Delhi,2023-12-17,139.8,57.7,91.1,59.7
Delhi,2023-12-18,226.8,114.4,185.1,32.8
Delhi,2023-12-19,122.7,47.7,82.7,21.9
Delhi,2023-12-20,140.0,57.3,96.1,36.2
Delhi,2023-12-21,204.9,86.0,180.3,62.6
Delhi,2023-12-22,193.5,93.9,138.1,28.5
Delhi,2023-12-23,290.0,148.2,199.3,36.6
Delhi,2023-12-24,157.8,69.2,106.8,63.1
Delhi,2023-12-25,140.0,75.1,113.2,41.3
Delhi,2023-12-26,234.0,93.2,187.4,55.8
Delhi,2023-12-27,96.1,41.6,78.3,35.9
Delhi,2023-12-28,,121.0,231.2,55.2
Delhi,2023-12-29,63.0,28.1,41.6,59.4
Delhi,2023-12-30,231.5,123.1,145.1,37.0
Delhi,2023-12-31,113.6,61.0,99.3,31.7
Mumbai,2023-01-01,123.1,65.7,110.7,67.7
Mumbai,2023-01-02,67.0,36.3,58.8,50.6
Mumbai,2023-01-03,97.9,36.4,87.6,38.6
Mumbai,2023-01-04,75.6,33.9,66.6,84.0
Mumbai,2023-01-05,115.0,42.8,74.6,26.4
Mumbai,2023-01-06,72.6,36.1,60.8,43.0
Mumbai,2023-01-07,49.0,25.5,42.6,29.6
Mumbai,2023-01-08,111.8,54.1,73.3,24.0
Mumbai,2023-01-09,111.8,45.0,75.0,50.3
Mumbai,2023-01-10,96.8,47.9,58.4,2.8
Mumbai,2023-01-11,68.8,25.7,47.6,21.0
Mumbai,2023-01-12,65.6,32.2,45.5,49.9
Mumbai,2023-01-13,144.4,68.3,96.1,62.5
Mumbai,2023-01-14,106.6,50.2,77.3,46.4
Mumbai,2023-01-15,62.8,30.3,41.8,34.8
Mumbai,2023-01-16,95.8,35.1,70.3,65.1
Mumbai,2023-01-17,91.5,33.2,69.9,34.2
Mumbai,2023-01-18,55.9,23.2,42.3,39.3
Mumbai,2023-01-19,110.2,40.6,83.0,46.8
Mumbai,2023-01-20,106.9,47.2,66.0,24.6
Mumbai,2023-01-21,42.1,18.1,35.6,46.4
Mumbai,2023-01-22,,39.4,58.2,20.3
Mumbai,2023-01-23,165.0,88.6,100.6,38.7
Mumbai,2023-01-24,51.8,28.3,41.1,53.9
Mumbai,2023-01-25,12.3,6.4,10.7,62.6
Mumbai,2023-01-26,62.7,28.7,49.9,56.0
Mumbai,2023-01-27,84.2,38.4,68.9,47.7
Mumbai,2023-01-28,,39.1,76.5,41.2
Mumbai,2023-01-29,59.5,23.8,41.9,34.9
Mumbai,2023-01-30,83.7,31.2,70.5,74.9
Mumbai,2023-01-31,50.3,17.8,33.3,52.4
Mumbai,2023-02-01,101.3,49.7,62.3,42.3
Mumbai,2023-02-02,93.2,36.7,80.1,24.8
Mumbai,2023-02-03,128.3,65.8,105.1,46.2
Mumbai,2023-02-04,78.0,32.3,53.9,58.4
Mumbai,2023-02-05,122.4,50.2,75.7,57.3
Mumbai,2023-02-06,153.5,72.9,111.8,30.2
Mumbai,2023-02-07,14.7,7.1,12.3,41.1
Mumbai,2023-02-08,82.0,34.9,67.8,54.1
Mumbai,2023-02-09,37.4,18.4,31.5,44.8
Mumbai,2023-02-10,128.2,59.2,82.1,30.2
Mumbai,2023-02-11,95.9,51.3,81.9,50.1
Mumbai,2023-02-12,135.3,54.6,108.5,53.2
Mumbai,2023-02-13,46.3,23.3,37.8,21.6
Mumbai,2023-02-14,63.0,26.2,55.9,33.8
Mumbai,2023-02-15,165.2,61.7,148.7,43.4
Mumbai,2023-02-16,72.8,28.5,63.7,41.5
Mumbai,2023-02-17,45.9,21.0,32.5,31.7
Mumbai,2023-02-18,92.4,34.2,82.6,57.9
Mumbai,2023-02-19,38.6,16.4,28.0,45.5
Mumbai,2023-02-20,75.4,30.3,66.4,35.9
Mumbai,2023-02-21,67.6,28.1,48.3,32.6
Mumbai,2023-02-22,112.6,54.8,76.3,24.7
Mumbai,2023-02-23,129.0,57.8,83.9,4.8
Mumbai,2023-02-24,100.1,44.8,87.6,31.2
Mumbai,2023-02-25,53.5,19.1,45.7,34.4
Mumbai,2023-02-26,136.9,59.2,116.7,32.5
Mumbai,2023-02-27,,45.3,71.6,63.3
Mumbai,2023-02-28,62.2,27.8,46.4,25.0
Mumbai,2023-03-01,,60.6,90.8,40.8
Mumbai,2023-03-02,100.5,48.7,84.6,39.6
Mumbai,2023-03-03,107.0,40.6,70.4,36.2
Mumbai,2023-03-04,40.6,17.4,28.9,35.4
Mumbai,2023-03-05,62.8,24.8,50.6,50.8
Mumbai,2023-03-06,120.2,60.3,75.5,22.2
Mumbai,2023-03-07,67.4,23.7,43.9,53.1
Mumbai,2023-03-08,63.0,29.2,54.0,40.0
Mumbai,2023-03-09,,49.2,107.9,50.4
Mumbai,2023-03-10,,44.1,106.1,28.9
Mumbai,2023-03-11,,67.6,87.6,28.6
Mumbai,2023-03-12,133.7,65.9,96.2,35.2
Mumbai,2023-03-13,110.8,57.3,79.4,44.2
Mumbai,2023-03-14,116.4,44.0,104.4,31.8
Mumbai,2023-03-15,89.3,32.2,65.3,22.6
Mumbai,2023-03-16,109.5,59.2,78.7,28.4
Mumbai,2023-03-17,96.1,52.7,71.8,36.4
Mumbai,2023-03-18,50.9,24.7,40.6,68.1
Mumbai,2023-03-19,130.8,64.4,81.7,50.7
Mumbai,2023-03-20,121.8,60.6,84.7,59.5
Mumbai,2023-03-21,97.4,41.1,66.3,41.0
Mumbai,2023-03-22,108.0,49.8,78.0,47.1
Mumbai,2023-03-23,122.7,57.6,85.6,42.3
Mumbai,2023-03-24,76.3,28.0,66.4,48.2
Mumbai,2023-03-25,163.7,62.8,116.9,16.7
Mumbai,2023-03-26,111.3,40.4,81.3,49.7
Mumbai,2023-03-27,64.6,25.9,43.5,48.2
Mumbai,2023-03-28,66.5,24.7,46.0,25.8
Mumbai,2023-03-29,120.6,61.6,84.3,35.7
Mumbai,2023-03-30,67.0,36.5,42.9,63.8
Mumbai,2023-03-31,63.7,26.3,56.7,72.9
Mumbai,2023-04-01,119.4,53.5,92.3,37.6
Mumbai,2023-04-02,96.4,41.3,61.1,54.6
Mumbai,2023-04-03,58.0,28.2,44.4,32.2
Mumbai,2023-04-04,126.9,55.5,87.2,35.1
Mumbai,2023-04-05,75.5,32.6,56.6,14.0
Mumbai,2023-04-06,80.1,39.5,67.0,31.7
Mumbai,2023-04-07,177.0,76.1,133.1,60.6
Mumbai,2023-04-08,135.4,68.8,95.8,29.0
Mumbai,2023-04-09,124.5,45.7,103.4,28.6
Mumbai,2023-04-10,79.6,28.6,71.2,28.3
Mumbai,2023-04-11,81.7,44.4,59.6,26.4
Mumbai,2023-04-12,118.2,53.6,91.5,40.8
Mumbai,2023-04-13,66.0,33.3,51.3,32.6
Mumbai,2023-04-14,,25.0,48.9,40.0
Mumbai,2023-04-15,109.5,41.4,75.9,38.2
Mumbai,2023-04-16,75.4,33.6,55.2,42.8
Mumbai,2023-04-17,86.4,44.2,54.8,27.6
Mumbai,2023-04-18,120.3,46.1,107.7,22.4
Mumbai,2023-04-19,95.7,44.2,84.9,49.3
Mumbai,2023-04-20,98.5,47.1,71.9,55.2
Mumbai,2023-04-21,135.7,63.6,97.2,43.8
Mumbai,2023-04-22,89.3,45.7,55.3,30.2
Mumbai,2023-04-23,143.8,59.7,106.0,58.1
Mumbai,2023-04-24,90.4,43.2,70.4,69.8
Mumbai,2023-04-25,64.5,33.5,50.6,27.2
Mumbai,2023-04-26,113.3,53.6,70.9,18.4
Mumbai,2023-04-27,105.0,40.6,84.8,45.6
Mumbai,2023-04-28,63.8,27.2,41.8,38.9
Mumbai,2023-04-29,64.6,35.5,49.5,22.6
Mumbai,2023-04-30,78.5,34.6,48.4,40.5
Mumbai,2023-05-01,92.4,47.4,82.2,41.6
Mumbai,2023-05-02,60.0,26.0,51.1,39.4
Mumbai,2023-05-03,,41.5,56.8,40.4
Mumbai,2023-05-04,89.2,39.4,73.4,58.4
Mumbai,2023-05-05,98.8,36.8,82.3,21.1
Mumbai,2023-05-06,107.7,38.6,87.9,27.2
Mumbai,2023-05-07,10.0,5.2,8.3,27.0
Mumbai,2023-05-08,61.2,25.7,51.7,94.7
Mumbai,2023-05-09,10.0,4.0,8.4,57.9
Mumbai,2023-05-10,71.3,34.0,46.3,32.7
Mumbai,2023-05-11,108.1,39.1,76.2,47.8
